"Record number","Sample Name","SOP Name","Measurement date and time","Operator Full Name","Result transform type","Particle absorption index","Particle refractive index","Dispersant name","Dispersant refractive index","Residual - weighted","Specific surface area","Uniformity","D [4, 3] - Volume weighted mean","D [3, 2] - Surface weighted mean ","Skewness","Mean","Median","Mode","Span(10,90)","Standard Deviation","Obscuration","Diameter d(0.5) low level","Diameter d(0.5) high level","d (0.1)","d (0.2)","d (0.5)","d (0.8)","d (0.9)","0.02μm-2μm","2μm-63μm","63μm-2000μm","Below 4μm","2μm-8μm","2μm-6.3μm","6.3μm-20μm","20μm-63μm","63μm-125μm","63μm-200μm","200μm-630μm","630μm-2000μm","250μm-500μm","500μm-1000μm","1000μm-2000μm"
"228","4_1_Z1_3","soil-sediments_1","Friday, 13 September 2024 08:50:01","ms2000","Volume","1","1.520","Water","1.330","1.089","1.14","1.25","43.888","5.271","69.839","43.888","27.347","44.905","3.564","56.35","17.15","0.020","2000.000","1.976","4.829","27.347","65.853","99.442","10.112","68.496","21.392","17.603","16.844","13.478","18.493","36.525","14.576","18.187","3.205","0","1.876","0","0"
"229","4_1_Z1_3 - Average","soil-sediments_1","Friday, 13 September 2024 08:48:05","ms2000","Volume","1","1.520","Water","1.330","1.154","1.11","1.43","51.033","5.409","68.742","51.033","28.566","45.086","3.852","75.847","17.23","0.020","2000.000","2.035","5.036","28.566","69.869","112.075","9.843","67.023","23.134","17.13","16.387","13.111","18.03","35.883","14.472","18.105","4.999","0.03","3.252","0.369","0"
"230","4_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 08:58:12","ms2000","Volume","1","1.520","Water","1.330","0.283","1.16","1.72","55.552","5.183","66.14","55.552","26.865","45.122","3.956","97.874","16.13","0.020","2000.000","1.937","4.662","26.865","66.818","108.221","10.3","67.933","21.767","18.003","17.381","13.885","18.705","35.343","13.228","15.588","5.807","0.373","3.923","1.296","0"
"231","4_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 08:59:10","ms2000","Volume","1","1.520","Water","1.330","0.299","1.17","1.67","52.797","5.126","66.397","52.797","26.291","44.847","3.889","91.479","16.05","0.020","2000.000","1.912","4.569","26.291","65.694","104.168","10.425","68.316","21.259","18.245","17.63","14.09","18.916","35.309","13.252","15.712","5.302","0.245","3.57","1.05","0"
"232","4_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 09:00:08","ms2000","Volume","1","1.520","Water","1.330","0.304","1.18","1.62","51.113","5.095","66.521","51.113","26.114","45.119","3.785","87.02","16.01","0.020","2000.000","1.899","4.530","26.114","64.745","100.751","10.496","68.667","20.838","18.353","17.71","14.153","18.968","35.545","13.245","15.565","5.137","0.135","3.483","0.874","0"
"233","4_1_Z2_1 - Average","soil-sediments_1","Friday, 13 September 2024 08:58:12","ms2000","Volume","1","1.520","Water","1.330","0.295","1.17","1.67","53.154","5.134","66.353","53.154","26.421","45.030","3.872","92.25","16.06","0.020","2000.000","1.916","4.586","26.421","65.742","104.219","10.407","68.305","21.288","18.2","17.574","14.043","18.863","35.399","13.242","15.621","5.415","0.252","3.659","1.073","0"
"234","4_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:08:20","ms2000","Volume","1","1.520","Water","1.330","0.279","0.912","2.9","129.546","6.579","58.024","129.546","39.857","44.438","10.703","206.832","14.78","0.020","2000.000","2.567","6.884","39.857","204.292","429.155","8.019","53.85","38.131","14.116","13.721","10.973","15.397","27.48","12.579","17.895","15.633","4.603","9.903","7.097","0.632"
"235","4_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:09:19","ms2000","Volume","1","1.520","Water","1.330","0.304","0.918","2.91","128.931","6.537","57.937","128.931","39.545","44.885","10.818","206.035","14.77","0.020","2000.000","2.544","6.793","39.545","202.925","430.343","8.079","54.02","37.901","14.224","13.83","11.059","15.492","27.469","12.628","17.747","15.583","4.571","9.905","7.16","0.582"
"236","4_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:10:17","ms2000","Volume","1","1.520","Water","1.330","0.298","0.946","2.87","120.515","6.343","59.101","120.515","37.473","43.945","10.793","197.276","14.72","0.020","2000.000","2.453","6.443","37.473","169.953","406.893","8.337","55.358","36.305","14.674","14.249","11.4","15.918","28.04","12.761","17.992","14.101","4.212","8.763","6.81","0.388"
"237","4_1_Z2_2 - Average","soil-sediments_1","Friday, 13 September 2024 09:08:20","ms2000","Volume","1","1.520","Water","1.330","0.294","0.925","2.89","126.331","6.485","58.354","126.331","38.937","44.415","10.788","203.469","14.75","0.020","2000.000","2.520","6.702","38.937","192.010","422.575","8.145","54.41","37.446","14.338","13.933","11.144","15.602","27.663","12.656","17.878","15.106","4.462","9.523","7.017","0.539"
"238","4_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:17:40","ms2000","Volume","1","1.520","Water","1.330","0.469","1.27","1.81","45.888","4.731","64.691","45.888","21.321","39.900","4.271","82.956","12.07","0.020","2000.000","1.760","3.985","21.321","58.573","92.814","11.309","70.651","18.04","20.055","19.644","15.727","21.418","33.506","11.409","13.684","4.243","0.113","2.81","0.838","0"
"239","4_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:18:38","ms2000","Volume","1","1.520","Water","1.330","0.320","1.26","2.11","52.939","4.761","63.782","52.939","21.612","39.963","4.521","106.592","12.03","0.020","2000.000","1.771","4.014","21.612","60.401","99.484","11.239","69.864","18.897","19.948","19.558","15.66","21.245","32.959","11.246","13.476","4.578","0.843","2.836","1.923","0"
"240","4_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:19:36","ms2000","Volume","1","1.520","Water","1.330","0.465","1.28","2.03","50.017","4.690","63.905","50.017","21.032","39.537","4.32","100.174","11.98","0.020","2000.000","1.742","3.932","21.032","58.172","92.605","11.423","70.701","17.876","20.251","19.822","15.875","21.491","33.336","11.169","13.025","4.306","0.545","2.721","1.741","0"
"241","4_1_Z2_2 - Average","soil-sediments_1","Friday, 13 September 2024 09:17:40","ms2000","Volume","1","1.520","Water","1.330","0.418","1.27","1.98","49.615","4.727","64.126","49.615","21.32","39.798","4.365","97.131","12.03","0.020","2000.000","1.757","3.977","21.320","59.032","94.809","11.323","70.406","18.271","20.085","19.675","15.754","21.385","33.267","11.275","13.395","4.373","0.503","2.789","1.501","0"
"242","5_2_Z1_1","soil-sediments_1","Friday, 13 September 2024 09:27:16","ms2000","Volume","1","1.520","Water","1.330","0.246","1.02","1.71","75.631","5.890","63.566","75.631","37.56","70.101","5.459","100.677","17.04","0.020","2000.000","2.200","5.188","37.560","123.056","207.246","9.105","53.69","37.205","16.664","16.748","13.491","16.076","24.123","17.557","26.624","10.513","0.069","6.481","0.69","0"
"243","5_2_Z1_1","soil-sediments_1","Friday, 13 September 2024 09:28:14","ms2000","Volume","1","1.520","Water","1.330","0.241","1.02","1.77","78.692","5.905","62.73","78.692","37.839","69.396","5.723","106.691","16.98","0.020","2000.000","2.205","5.196","37.839","126.943","218.738","9.082","53.383","37.535","16.643","16.749","13.494","16.042","23.847","17.202","26.095","11.322","0.118","7.017","0.975","0"
"244","5_2_Z1_1","soil-sediments_1","Friday, 13 September 2024 09:29:12","ms2000","Volume","1","1.520","Water","1.330","0.252","1.03","1.74","75.508","5.821","63.124","75.508","36.837","69.993","5.607","101.606","16.93","0.020","2000.000","2.170","5.081","36.837","121.830","208.727","9.225","53.924","36.851","16.895","16.976","13.681","16.224","24.019","17.413","26.176","10.601","0.074","6.614","0.722","0"
"245","5_2_Z1_1 - Average","soil-sediments_1","Friday, 13 September 2024 09:27:16","ms2000","Volume","1","1.520","Water","1.330","0.246","1.02","1.74","76.610","5.872","63.14","76.61","37.411","69.832","5.595","103.036","16.98","0.020","2000.000","2.192","5.154","37.411","123.905","211.500","9.137","53.666","37.197","16.734","16.824","13.555","16.114","23.997","17.391","26.298","10.802","0.097","6.703","0.797","0"
"246","5_2_Z1_2","soil-sediments_1","Friday, 13 September 2024 09:36:47","ms2000","Volume","1","1.520","Water","1.330","0.246","0.955","1.52","76.193","6.280","65.545","76.193","41.461","71.800","4.864","96.703","15.84","0.020","2000.000","2.380","5.808","41.461","124.085","204.043","8.455","52.754","38.79","15.465","15.662","12.577","15.414","24.763","18.965","28.453","10.337","0","6.371","0.488","0"
"247","5_2_Z1_2","soil-sediments_1","Friday, 13 September 2024 09:37:46","ms2000","Volume","1","1.520","Water","1.330","0.258","0.959","1.53","76.090","6.254","65.322","76.09","41.345","72.129","4.9","95.929","15.80","0.020","2000.000","2.368","5.758","41.345","125.093","204.944","8.496","52.658","38.846","15.545","15.762","12.654","15.47","24.534","18.828","28.426","10.42","0","6.452","0.399","0"
"248","5_2_Z1_2","soil-sediments_1","Friday, 13 September 2024 09:38:44","ms2000","Volume","1","1.520","Water","1.330","0.274","0.977","1.54","73.731","6.141","65.47","73.731","39.863","70.713","4.904","93.52","15.74","0.020","2000.000","2.318","5.589","39.863","120.956","197.809","8.668","53.42","37.912","15.849","16.048","12.886","15.735","24.799","18.69","28.098","9.813","0","6.024","0.349","0"
"249","5_2_Z1_2 - Average","soil-sediments_1","Friday, 13 September 2024 09:36:47","ms2000","Volume","1","1.520","Water","1.330","0.259","0.964","1.53","75.338","6.224","65.446","75.338","40.886","71.549","4.889","95.4","15.79","0.020","2000.000","2.355","5.717","40.886","123.372","202.248","8.54","52.944","38.516","15.62","15.824","12.706","15.54","24.699","18.828","28.326","10.19","0","6.283","0.412","0"
"250","4_2_Z2_1","soil-sediments_1","Friday, 13 September 2024 09:46:33","ms2000","Volume","1","1.520","Water","1.330","0.285","1.24","2.81","75.389","4.832","59.127","75.389","23.988","39.377","9.681","136.59","20.52","0.020","2000.000","1.792","4.174","23.988","84.644","234.008","11.091","63.103","25.806","19.417","18.585","14.889","20.002","28.213","10.894","14.61","9.895","1.302","6.437","3.025","0"
"251","4_2_Z2_1","soil-sediments_1","Friday, 13 September 2024 09:47:31","ms2000","Volume","1","1.520","Water","1.330","0.283","1.24","2.92","79.131","4.855","58.412","79.131","24.279","39.085","10.565","142.412","20.45","0.020","2000.000","1.800","4.197","24.279","88.677","258.299","11.043","62.486","26.471","19.343","18.523","14.841","19.865","27.78","10.768","14.449","10.558","1.463","6.899","3.38","0"
"252","4_2_Z2_1","soil-sediments_1","Friday, 13 September 2024 09:48:30","ms2000","Volume","1","1.520","Water","1.330","0.306","1.26","2.96","76.906","4.766","58.255","76.906","23.36","38.769","10.703","140.574","20.37","0.020","2000.000","1.763","4.080","23.360","83.212","251.781","11.264","63.348","25.388","19.724","18.866","15.119","20.196","28.032","10.501","13.773","10.233","1.383","6.729","3.326","0"
"253","4_2_Z2_1 - Average","soil-sediments_1","Friday, 13 September 2024 09:46:33","ms2000","Volume","1","1.520","Water","1.330","0.291","1.25","2.9","77.142","4.817","58.598","77.142","23.872","39.085","10.311","139.888","20.44","0.020","2000.000","1.785","4.150","23.872","85.451","247.932","11.133","62.979","25.888","19.495","18.658","14.949","20.021","28.008","10.721","14.277","10.23","1.381","6.688","3.244","0"
"254","4_2_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:55:42","ms2000","Volume","1","1.520","Water","1.330","0.751","1.37","2.62","56.371","4.384","59.579","56.371","19.051","35.936","6.585","106.799","18.63","0.020","2000.000","1.614","3.602","19.051","64.033","127.062","12.295","67.36","20.345","21.569","20.742","16.605","22.2","28.555","10.208","12.96","7.152","0.233","4.765","1.62","0"
"255","4_2_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:56:41","ms2000","Volume","1","1.520","Water","1.330","0.535","1.34","3.12","69.642","4.492","57.689","69.642","20.138","35.714","10.012","133.7","18.59","0.020","2000.000","1.654","3.722","20.138","71.293","203.286","12","65.572","22.427","21.057","20.24","16.207","21.639","27.726","9.769","12.356","8.983","1.087","5.847","3.178","0"
"256","4_2_Z2_2","soil-sediments_1","Friday, 13 September 2024 09:57:39","ms2000","Volume","1","1.520","Water","1.330","0.365","1.23","5.83","148.962","4.870","53.09","148.962","24.179","34.994","24.286","304.663","18.56","0.020","2000.000","1.797","4.168","24.179","122.610","589.018","11.066","60.151","28.783","19.433","18.702","14.977","19.941","25.233","8.939","11.642","7.97","9.172","4.406","8.286","3.555"
"257","4_2_Z2_2 - Average","soil-sediments_1","Friday, 13 September 2024 09:55:42","ms2000","Volume","1","1.520","Water","1.330","0.550","1.31","4.04","91.658","4.572","56.786","91.658","20.951","35.559","13.251","205.844","18.59","0.020","2000.000","1.684","3.815","20.951","77.656","279.293","11.787","64.361","23.852","20.686","19.895","15.93","21.26","27.171","9.639","12.32","8.03","3.502","5.006","4.36","1.187"
"258","3_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 10:04:44","ms2000","Volume","1","1.520","Water","1.330","0.410","2.03","3.65","41.238","2.955","49.919","41.238","10.298","17.856","9.217","88.958","18.03","0.020","2000.000","1.050","2.249","10.298","45.182","95.961","18.124","67","14.877","30.645","26.669","21.76","24.119","21.121","7.009","9.588","5.138","0.151","3.318","0.928","0"
"259","3_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 10:05:42","ms2000","Volume","1","1.520","Water","1.330","0.424","2.05","3.48","38.864","2.933","50.294","38.864","10.131","18.283","8.807","84.167","18.00","0.020","2000.000","1.042","2.228","10.131","43.692","90.268","18.266","67.442","14.292","30.879","26.843","21.911","24.257","21.274","7.067","9.695","4.458","0.139","2.794","0.836","0"
"260","3_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 10:06:40","ms2000","Volume","1","1.520","Water","1.330","0.435","2.01","4.19","47.853","2.980","49.002","47.853","10.525","17.956","10.319","106.962","17.97","0.020","2000.000","1.059","2.271","10.525","47.599","109.669","17.978","66.179","15.843","30.398","26.43","21.574","23.814","20.792","6.777","9.253","6.013","0.577","3.845","1.719","0"
"261","3_1_Z2_1 - Average","soil-sediments_1","Friday, 13 September 2024 10:04:44","ms2000","Volume","1","1.520","Water","1.330","0.423","2.03","3.78","42.652","2.956","49.738","42.652","10.316","18.034","9.378","93.954","18.00","0.020","2000.000","1.050","2.249","10.316","45.431","97.786","18.123","66.874","15.004","30.641","26.647","21.748","24.063","21.062","6.951","9.512","5.205","0.287","3.319","1.161","0"
"262","3_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 10:13:39","ms2000","Volume","1","1.520","Water","1.330","0.394","2.01","4.55","52.012","2.988","48.995","52.012","10.608","19.018","10.211","123.517","16.75","0.020","2000.000","1.060","2.282","10.608","46.639","109.379","17.917","66.457","15.626","30.257","26.315","21.464","24.043","20.95","6.564","8.853","5.512","1.261","3.32","2.676","0"
"263","3_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 10:14:37","ms2000","Volume","1","1.520","Water","1.330","0.424","2.05","3.84","42.513","2.934","49.656","42.513","10.126","19.019","8.923","98.438","16.72","0.020","2000.000","1.042","2.230","10.126","42.795","91.388","18.253","67.61","14.137","30.849","26.851","21.907","24.459","21.243","6.589","8.896","4.751","0.49","2.966","1.476","0"
"264","3_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 10:15:35","ms2000","Volume","1","1.520","Water","1.330","0.409","2.01","4.6","52.642","2.991","48.564","52.642","10.626","18.946","10.805","122.654","16.71","0.020","2000.000","1.061","2.284","10.626","47.207","115.883","17.901","66.224","15.874","30.242","26.31","21.466","23.967","20.792","6.366","8.65","6.077","1.148","3.774","2.554","0"
"265","3_1_Z2_2 - Average","soil-sediments_1","Friday, 13 September 2024 10:13:39","ms2000","Volume","1","1.520","Water","1.330","0.409","2.02","4.34","49.056","2.971","49.072","49.056","10.449","18.994","9.877","115.55","16.73","0.020","2000.000","1.054","2.265","10.449","45.458","104.262","18.024","66.764","15.212","30.449","26.492","21.612","24.156","20.995","6.506","8.8","5.446","0.967","3.353","2.236","0"
"266","2_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 10:24:08","ms2000","Volume","1","1.520","Water","1.330","0.241","1.02","2.64","78.838","5.907","61.239","78.838","26.412","42.087","8.508","125.899","20.55","0.020","2000.000","2.379","5.289","26.412","120.222","227.082","8.43","59.427","32.143","15.959","18.543","14.388","21.664","23.375","12.818","20.354","10.866","0.922","6.577","2.16","0"
"267","2_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 10:25:07","ms2000","Volume","1","1.520","Water","1.330","0.246","1.02","2.64","78.910","5.899","60.731","78.91","26.431","42.301","8.781","122.451","20.48","0.020","2000.000","2.373","5.275","26.431","122.821","234.456","8.452","59.169","32.379","15.997","18.561","14.408","21.646","23.115","12.678","20.123","11.608","0.647","7.2","1.935","0"
"268","2_1_Z2_1","soil-sediments_1","Friday, 13 September 2024 10:26:05","ms2000","Volume","1","1.520","Water","1.330","0.249","1.04","2.57","72.673","5.768","61.748","72.673","24.93","41.930","8.284","114.036","20.43","0.020","2000.000","2.318","5.119","24.930","111.426","208.832","8.644","60.385","30.97","16.372","19.016","14.759","22.177","23.449","13.002","20.379","10.081","0.511","6.149","1.561","0"
"269","2_1_Z2_1 - Average","soil-sediments_1","Friday, 13 September 2024 10:24:08","ms2000","Volume","1","1.520","Water","1.330","0.245","1.02","2.62","76.807","5.857","61.239","76.807","25.911","42.116","8.531","120.933","20.48","0.020","2000.000","2.356","5.226","25.911","117.975","223.401","8.509","59.661","31.83","16.109","18.707","14.518","21.829","23.313","12.833","20.285","10.852","0.693","6.642","1.885","0"
"270","2_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 10:34:24","ms2000","Volume","1","1.520","Water","1.330","0.253","0.941","2.36","82.307","6.380","62.125","82.307","30.543","50.925","7.83","121.785","17.21","0.020","2000.000","2.616","5.888","30.543","131.508","241.755","7.702","57.68","34.619","14.626","17.282","13.349","20.655","23.676","13.696","21.727","12.336","0.556","7.692","1.821","0"
"271","2_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 10:35:22","ms2000","Volume","1","1.520","Water","1.330","0.265","0.954","2.32","78.508","6.289","62.411","78.508","29.533","49.486","7.729","114.703","17.15","0.020","2000.000","2.575","5.772","29.533","126.803","230.827","7.817","58.304","33.879","14.851","17.549","13.558","20.934","23.812","13.619","21.656","11.918","0.306","7.445","1.378","0"
"272","2_1_Z2_2","soil-sediments_1","Friday, 13 September 2024 10:36:21","ms2000","Volume","1","1.520","Water","1.330","0.247","0.96","2.35","78.329","6.250","62.521","78.329","29.161","47.907","7.679","116.559","17.11","0.020","2000.000","2.556","5.719","29.161","125.496","226.497","7.872","58.475","33.654","14.954","17.672","13.655","21.021","23.799","13.581","21.718","11.432","0.503","6.983","1.576","0"
"273","2_1_Z2_2 - Average","soil-sediments_1","Friday, 13 September 2024 10:34:24","ms2000","Volume","1","1.520","Water","1.330","0.255","0.951","2.34","79.714","6.306","62.352","79.714","29.739","49.420","7.745","117.735","17.16","0.020","2000.000","2.582","5.792","29.739","127.898","232.900","7.797","58.153","34.051","14.81","17.501","13.521","20.87","23.762","13.632","21.7","11.903","0.447","7.374","1.591","0"
"274","3_2_Z3_1","soil-sediments_1","Friday, 13 September 2024 10:43:21","ms2000","Volume","1","1.520","Water","1.330","0.389","1.91","2.91","33.096","3.136","52.105","33.096","10.077","18.398","7.467","71.644","16.48","0.020","2000.000","1.141","2.355","10.077","39.727","76.389","17.326","70.206","12.468","30.067","27.61","22.403","25.669","22.134","7.085","9.509","2.846","0.113","1.655","0.627","0"
